x,y,type
31.0,347.0,blue_boundary
44.0,388.0,blue_boundary
44.0,401.0,blue_boundary
36.0,417.0,blue_boundary
36.0,427.0,blue_boundary
47.0,453.0,blue_boundary
54.0,488.0,blue_boundary
64.0,503.0,blue_boundary
93.0,594.0,blue_boundary
109.0,603.0,blue_boundary
129.0,626.0,blue_boundary
144.0,627.0,blue_boundary
269.0,661.0,blue_boundary
290.0,650.0,blue_boundary
313.0,650.0,blue_boundary
342.0,628.0,blue_boundary
367.0,627.0,blue_boundary
383.0,617.0,blue_boundary
408.0,618.0,blue_boundary
423.0,609.0,blue_boundary
443.0,608.0,blue_boundary
458.0,599.0,blue_boundary
484.0,600.0,blue_boundary
497.0,591.0,blue_boundary
520.0,590.0,blue_boundary
535.0,581.0,blue_boundary
559.0,582.0,blue_boundary
575.0,588.0,blue_boundary
596.0,577.0,blue_boundary
613.0,578.0,blue_boundary
633.0,568.0,blue_boundary
656.0,568.0,blue_boundary
671.0,559.0,blue_boundary
694.0,559.0,blue_boundary
755.0,503.0,blue_boundary
764.0,499.0,blue_boundary
795.0,465.0,blue_boundary
798.0,439.0,blue_boundary
807.0,421.0,blue_boundary
780.0,334.0,blue_boundary
766.0,302.0,blue_boundary
755.0,254.0,blue_boundary
749.0,246.0,blue_boundary
732.0,240.0,blue_boundary
712.0,217.0,blue_boundary
677.0,210.0,blue_boundary
658.0,202.0,blue_boundary
642.0,182.0,blue_boundary
628.0,177.0,blue_boundary
616.0,160.0,blue_boundary
599.0,151.0,blue_boundary
579.0,128.0,blue_boundary
396.0,82.0,blue_boundary
379.0,91.0,blue_boundary
366.0,93.0,blue_boundary
289.0,75.0,blue_boundary
269.0,85.0,blue_boundary
243.0,87.0,blue_boundary
202.0,122.0,blue_boundary
172.0,125.0,blue_boundary
60.0,233.0,blue_boundary
57.0,259.0,blue_boundary
48.0,277.0,blue_boundary
48.0,294.0,blue_boundary
41.0,306.0,blue_boundary
40.0,329.0,blue_boundary
5.0,5.0,purple_TL
835.0,5.0,purple_TR
5.0,717.0,purple_BL
835.0,717.0,purple_BR
5.0,361.0,purple_ML
835.0,361.0,purple_MR
