src_x,src_y
417.4762528891639,449.09091790398315
433.0262756716305,498.1332974486856
433.0262756716305,513.6833202311522
423.4570308824203,532.8218098095726
423.4570308824203,544.7833657960855
436.6147424675844,575.8834113610187
444.98783165814336,617.7488573138135
456.94938764465616,635.6911912935826
491.63790000554326,744.541350770849
510.7763895839637,755.3067511587105
534.6995015569893,782.8183299276899
552.6418355367584,784.0144855263411
702.1612853681683,824.6837758804846
727.2805529398452,811.5260642953206
754.7921317088245,811.5260642953206
789.4806440697116,785.2106411249924
819.3845340359936,784.0144855263411
838.523023614414,772.0529295398284
868.426913580696,773.2490851384796
886.3692475604652,762.4836847506181
910.2923595334908,761.2875291519669
928.2346935132599,750.5221287641053
959.3347390781931,751.7182843627567
974.8847618606598,740.9528839748951
1002.3963406296392,739.7567283762438
1020.3386746094084,728.9913279883824
1049.0464089770392,730.1874835870336
1068.1848985554595,737.3644171789413
1093.3041661271363,724.2067055937772
1113.638811304208,725.4028611924285
1137.5619232772337,713.4413052059157
1165.073502046213,713.4413052059157
1183.0158360259823,702.6759048180543
1210.5274147949617,702.6759048180543
1283.4929063126897,635.6911912935826
1294.2583067005512,630.9065688989775
1331.3391302587409,590.237278544834
1334.9275970546946,559.1372329799008
1345.6929974425561,537.6064322041777
1313.3967962789716,433.54089512151654
1296.6506178978539,395.2639159646756
1283.4929063126897,337.84844722941426
1276.315972720782,328.279202440204
1255.9813275437102,321.1022688482964
1232.0582155706848,293.5906900793169
1190.19276961789,285.217600888758
1167.4658132435156,275.64835609954775
1148.3273236650953,251.7252441265222
1131.5811452839773,245.7444661332658
1117.227278100162,225.40982095619404
1096.8926329230903,214.64442056833258
1072.9695209500646,187.13284179935317
854.0730463968806,132.10968426139436
833.7384012198089,142.87508464925583
818.1883784373423,145.26739584655837
726.0843973411938,123.73659507083539
702.1612853681683,135.69815105734818
671.061239803235,138.09046225465073
622.0188602585326,179.95590820744547
586.1341922989943,183.5443750033993
452.16476525005106,312.7291796577374
448.57629845409724,343.82922522267063
437.81089806623567,365.36002599839367
437.81089806623567,385.6946711754654
429.4378088756767,400.04853835928077
428.2416532770254,427.5601171282601
